Tracing "xfs_file_aio_read"... Ctrl-C to end.
  3)               |  xfs_file_aio_read() {
  3)               |                    submit_bio() {
  3)               |                      generic_make_request() {
  3)   0.227 us    |                        _cond_resched();
  3)               |                        blk_throtl_bio() {
  3)   0.237 us    |                          task_blkio_cgroup();
  3)               |                          throtl_find_tg() {
  3)   0.322 us    |                            __throtl_tg_fill_dev_details();
  3)   0.917 us    |                          }
  3)   0.613 us    |                          blkiocg_update_dispatch_stats();
  3)   2.936 us    |                        }
  3)               |                        blk_queue_bio() {
  3)   0.353 us    |                          blk_queue_bounce();
  3)   0.452 us    |                          bio_integrity_enabled();
  3)   0.233 us    |                          _spin_lock_irq();
  3)               |                          elv_queue_empty() {
  3)   0.309 us    |                            noop_queue_empty();
  3)   1.119 us    |                          }
  3)               |                          get_request_wait() {
  3)               |                            get_request() {
  3)   0.325 us    |                              elv_may_queue();
  3)               |                              mempool_alloc() {
  3)   0.225 us    |                                _cond_resched();
  3)               |                                mempool_alloc_slab() {
  3)               |                                  kmem_cache_alloc() {
  3)               |                                    cache_alloc_refill() {
  3)   0.245 us    |                                      _spin_lock();
  3)   0.240 us    |                                      transfer_objects();
  3)   1.311 us    |                                    }
  3)   1.912 us    |                                  }
  3)   2.352 us    |                                }
  3)   3.266 us    |                              }
  3)   0.312 us    |                              blk_rq_init();
  3)   0.242 us    |                              elv_set_request();
  3)   5.440 us    |                            }
  3)   5.939 us    |                          }
  3)               |                          init_request_from_bio() {
  3)               |                            blk_rq_bio_prep() {
  3)               |                              bio_phys_segments() {
  3)               |                                blk_recount_segments() {
  3)   0.353 us    |                                  __blk_recalc_rq_segments();
  3)   0.831 us    |                                }
  3)   1.303 us    |                              }
  3)   1.783 us    |                            }
  3)   2.370 us    |                          }
  3)   0.227 us    |                          _spin_lock_irq();
  3)               |                          elv_queue_empty() {
  3)   0.231 us    |                            noop_queue_empty();
  3)   0.688 us    |                          }
  3)               |                          blk_plug_device() {
  3)               |                            mod_timer() {
  3)               |                              lock_timer_base() {
  3)   0.248 us    |                                _spin_lock_irqsave();
  3)   0.717 us    |                              }
  3)   0.235 us    |                              idle_cpu();
  3)   0.242 us    |                              _spin_lock();
  3)   0.261 us    |                              internal_add_timer();
  3)   0.234 us    |                              _spin_unlock_irqrestore();
  3)   3.283 us    |                            }
  3)   4.098 us    |                          }
  3)               |                          drive_stat_acct() {
  3)   0.433 us    |                            disk_map_sector_rcu();
  3)   0.327 us    |                            part_round_stats();
  3)   1.562 us    |                          }
  3)               |                          __elv_add_request() {
  3)               |                            elv_insert() {
  3)   0.413 us    |                              elv_rqhash_add();
  3)   0.234 us    |                              noop_add_request();
  3)   1.585 us    |                            }
  3)   2.171 us    |                          }
  3) + 22.296 us   |                        }
  3) + 26.855 us   |                      }
  3) + 27.397 us   |                    }
  3) + 27.913 us   |                  }
  3) + 85.133 us   |                }
  3) + 85.680 us   |              }
  3)   0.236 us    |              put_pages_list();
  3) ! 114.486 us  |            }
  3) ! 114.943 us  |          }
  3) ! 116.798 us  |        }
  3) ! 117.345 us  |      }
  3)   0.263 us    |      find_get_page();
  3)   0.227 us    |      _cond_resched();
  3)               |      __lock_page_killable() {
  3)   0.231 us    |        page_waitqueue();
  3)               |        __wait_on_bit_lock() {
  3)               |          prepare_to_wait_exclusive() {
  3)   0.317 us    |            _spin_lock_irqsave();
  3)   0.234 us    |            _spin_unlock_irqrestore();
  3)   1.260 us    |          }
  3)               |          sync_page_killable() {
  3)               |            sync_page() {
  3)               |              block_sync_page() {
  3)               |                blk_backing_dev_unplug() {
  3)               |                  blk_unplug() {
  3)               |                    generic_unplug_device() {
  3)   0.229 us    |                      _spin_lock_irq();
  3)               |                      __generic_unplug_device() {
  3)               |                        blk_remove_plug() {
  3)               |                          del_timer() {
  3)               |                            lock_timer_base() {
  3)   0.231 us    |                              _spin_lock_irqsave();
  3)   0.678 us    |                            }
  3)   0.236 us    |                            }
  3)   1.620 us    |                          }
  3)   2.078 us    |                        }
  3)               |                        scsi_request_fn() {
  3)   0.386 us    |                          get_device();
  3)               |                          blk_peek_request() {
  3)               |                            noop_dispatch() {
  3)   0.300 us    |                              elv_dispatch_sort();
  3)   0.771 us    |                            }
  3)               |                            sd_prep_fn() {
  3)               |                              scsi_setup_fs_cmnd() {
  3)   0.288 us    |                                scsi_prep_state_check();
  3)               |                                scsi_get_command() {
  3)   0.246 us    |                                  get_device();
  3)               |                                  __scsi_get_command() {
  3)               |                                    scsi_host_alloc_command() {
  3)               |                                      scsi_pool_alloc_command() {
  3)               |                                        kmem_cache_alloc() {
  3)               |                                          cache_alloc_refill() {
  3)   0.253 us    |                                            _spin_lock();
  3)   0.290 us    |                                            transfer_objects();
  3)   1.425 us    |                                          }
  3)   2.008 us    |                                        }
  3)               |                                        kmem_cache_alloc() {
  3)               |                                          cache_alloc_refill() {
  3)   0.302 us    |                                            _spin_lock();
  3)   0.279 us    |                                            transfer_objects();
  3)   1.671 us    |                                          }
  3)   2.280 us    |                                        }
  3)   5.378 us    |                                      }
  3)   5.946 us    |                                    }
  3)   6.506 us    |                                  }
  3)   0.229 us    |                                  _spin_lock_irqsave();
  3)   0.233 us    |                                  _spin_unlock_irqrestore();
  3)   8.367 us    |                                }
  3)               |                                scsi_init_io() {
  3)               |                                  scsi_init_sgtable() {
  3)               |                                    scsi_alloc_sgtable() {
  3)               |                                      scsi_sg_alloc() {
  3)               |                                        mempool_alloc() {
  3)               |                                          mempool_alloc_slab() {
  3)               |                                            kmem_cache_alloc() {
  3)               |                                              cache_alloc_refill() {
  3)   0.245 us    |                                                _spin_lock();
  3)   0.290 us    |                                                transfer_objects();
  3)   1.384 us    |                                              }
  3)   1.895 us    |                                            }
  3)   2.338 us    |                                          }
  3)   2.878 us    |                                        }
  3)   3.351 us    |                                      }
  3)   3.986 us    |                                    }
  3)   0.375 us    |                                    blk_rq_map_sg();
  3)   5.145 us    |                                  }
  3)   5.863 us    |                                }
  3) + 15.587 us   |                              }
  3)   0.251 us    |                              scsi_prep_return();
  3) + 17.366 us   |                            }
  3) + 19.125 us   |                          }
  3)               |                          blk_start_request() {
  3)   0.269 us    |                            }
  3)               |                            blk_add_timer() {
  3)               |                              round_jiffies_up() {
  3)   0.249 us    |                                round_jiffies_common();
  3)   0.720 us    |                              }
  3)               |                              mod_timer() {
  3)               |                                lock_timer_base() {
  3)   0.238 us    |                                  _spin_lock_irqsave();
  3)   0.688 us    |                                }
  3)   0.227 us    |                                idle_cpu();
  3)   0.225 us    |                                _spin_lock();
  3)   0.341 us    |                                internal_add_timer();
  3)   0.236 us    |                                _spin_unlock_irqrestore();
  3)   3.123 us    |                              }
  3)   4.663 us    |                            }
  3)   5.638 us    |                          }
  3)   0.229 us    |                          _spin_lock();
  3)               |                          scsi_dispatch_cmd() {
  3)   0.231 us    |                            scsi_log_send();
  3)   0.229 us    |                            _spin_lock_irqsave();
  3)               |                            hpsa_scsi_queue_command() {
  3)   0.242 us    |                              _spin_lock_irqsave();
  3)   0.235 us    |                              _spin_unlock_irqrestore();
  3)               |                              cmd_alloc() {
  3)   0.229 us    |                                _spin_lock_irqsave();
  3)   0.236 us    |                                _spin_unlock_irqrestore();
  3)   1.675 us    |                              }
  3)   0.575 us    |                              scsi_dma_map();
  3)               |                              enqueue_cmd_and_start_io() {
  3)   0.234 us    |                                _spin_lock_irqsave();
  3)   0.282 us    |                                _spin_unlock_irqrestore();
  3)   0.228 us    |                                _spin_lock_irqsave();
  3)   0.334 us    |                                SA5_fifo_full();
  3)   0.234 us    |                                _spin_unlock_irqrestore();
  3)   1.213 us    |                                SA5_submit_command();
  3)   0.227 us    |                                _spin_lock_irqsave();
  3)   0.234 us    |                                _spin_unlock_irqrestore();
  3)   5.344 us    |                              }
  3)   9.911 us    |                            }
  3)   0.232 us    |                            _spin_unlock_irqrestore();
  3) + 12.008 us   |                          }
  3)   0.226 us    |                          _spin_lock_irq();
  3)               |                          blk_peek_request() {
  3)   0.251 us    |                            noop_dispatch();
  3)   0.737 us    |                          }
  3)   0.307 us    |                          put_device();
  3)   0.225 us    |                          _spin_lock_irq();
  3) + 41.779 us   |                        }
  3) + 44.610 us   |                      }
  3) + 45.568 us   |                    }
  3) + 46.059 us   |                  }
  3) + 46.539 us   |                }
  3) + 47.050 us   |              }
  3)               |              io_schedule() {
  3)               |                __delayacct_blkio_start() {
  3)               |                  ktime_get_ts() {
  3)   0.242 us    |                    set_normalized_timespec();
  3)   0.798 us    |                  }
  3)   1.294 us    |                }
  3)               |                schedule() {
  3)   0.233 us    |                  rcu_sched_qs();
  3)   0.242 us    |                  _spin_lock_irq();
  3)               |                  deactivate_task() {
  3)               |                    dequeue_task() {
  3)   0.296 us    |                      update_rq_clock();
  3)               |                      dequeue_task_fair() {
  3)               |                          update_curr() {
  3)   0.225 us    |                            task_of();
  3)   0.225 us    |                            account_cfs_rq_runtime();
  3)   1.311 us    |                          }
  3)   0.223 us    |                          task_of();
  3)   0.235 us    |                          clear_buddies();
  3)   0.227 us    |                          update_cfs_load();
  3)   0.294 us    |                          update_cfs_shares();
  3)   3.870 us    |                        }
  3)   0.255 us    |                        hrtick_start_fair();
  3)   4.929 us    |                      }
  3)   6.000 us    |                    }
  3)   6.474 us    |                  }
  3)   0.247 us    |                  update_shares();
  3)   0.225 us    |                  _spin_lock();
  3)   1.224 us    |                  find_busiest_group();
  3)   0.246 us    |                  _spin_lock();
  3)   0.228 us    |                  msecs_to_jiffies();
  3)   0.278 us    |                  put_prev_task_fair();
  3)   0.268 us    |                  pick_next_task_fair();
  3)   0.259 us    |                  pick_next_task_stop();
  3)   0.259 us    |                  pick_next_task_rt();
  3)   0.242 us    |                  pick_next_task_fair();
  3)   0.274 us    |                  pick_next_task_idle();
  3)   0.251 us    |                  perf_event_task_sched_out();
  3)   0.240 us    |                  native_load_sp0();
  3)   0.243 us    |                  native_load_tls();
  3)   0.227 us    |                  native_read_cr0();
  3)   0.302 us    |                  native_write_cr0();
  0)   1.980 us    |                  finish_task_switch();
  0) ! 6578.428 us |                }
  0)               |                __delayacct_blkio_end() {
  0)               |                  delayacct_end() {
  0)               |                    ktime_get_ts() {
  0)   0.519 us    |                      set_normalized_timespec();
  0)   1.637 us    |                    }
  0)   0.490 us    |                    set_normalized_timespec();
  0)   0.487 us    |                    _spin_lock_irqsave();
  0)   0.490 us    |                    _spin_unlock_irqrestore();
  0)   5.506 us    |                  }
  0)   6.550 us    |                }
  0) ! 6587.871 us |              }
  0) ! 6636.144 us |            }
  0) ! 6636.884 us |          }
  0)   0.563 us    |          finish_wait();
  0) ! 6640.545 us |        }
  0) ! 6641.802 us |      }
  0)               |      unlock_page() {
  0)   0.526 us    |        page_waitqueue();
  0)   0.480 us    |        __wake_up_bit();
  0)   2.460 us    |      }
  0)   0.491 us    |      mark_page_accessed();
  0)               |      file_read_actor() {
  0)               |        __do_page_fault() {
  0)   0.477 us    |          down_read_trylock();
  0)   0.507 us    |          _cond_resched();
  0)   0.836 us    |          find_vma();
  0)               |          handle_mm_fault() {
  0)               |            handle_pte_fault() {
  0)               |              anon_vma_prepare() {
  0)   0.489 us    |                _cond_resched();
  0)   1.440 us    |              }
  0)               |              alloc_pages_vma() {
  0)   0.543 us    |                get_vma_policy();
  0)   0.537 us    |                policy_zonelist();
  0)   0.494 us    |                policy_nodemask();
  0)               |                __alloc_pages_nodemask() {
  0)   0.457 us    |                  _cond_resched();
  0)   0.480 us    |                  next_zones_zonelist();
  0)               |                  get_page_from_freelist() {
  0)   0.471 us    |                    next_zones_zonelist();
  0)               |                    zone_watermark_ok() {
  0)   0.556 us    |                      __zone_watermark_ok();
  0)   1.620 us    |                    }
  0)               |                    zone_statistics() {
  0)   0.517 us    |                      __inc_zone_state();
  0)   0.540 us    |                      }
  0)   2.747 us    |                    }
  0)   7.976 us    |                  }
  0) + 11.244 us   |                }
  0) + 15.373 us   |              }
  0)               |              mem_cgroup_newpage_charge() {
  0)               |                mem_cgroup_charge_common() {
  0)   0.567 us    |                  lookup_page_cgroup();
  0)   0.651 us    |                  __mem_cgroup_try_charge();
  0)   0.800 us    |                  __mem_cgroup_commit_charge();
  0)   4.076 us    |                }
  0)   5.143 us    |              }
  0)   1.083 us    |              _spin_lock();
  0)               |              page_add_new_anon_rmap() {
  0)               |                __inc_zone_page_state() {
  0)   0.439 us    |                  __inc_zone_state();
  0)   1.263 us    |                }
  0)   0.423 us    |                page_evictable();
  0)               |                lru_cache_add_lru() {
  0)               |                  __lru_cache_add() {
  0)   0.437 us    |                    get_page();
  0)   1.300 us    |                  }
  0)   2.166 us    |                }
  0)   5.637 us    |              }
  0)   0.430 us    |              native_set_pte_at();
  0) + 32.660 us   |            }
  0) + 33.847 us   |          }
  0)   0.433 us    |          up_read();
  0) + 39.397 us   |        }
  0)   1.434 us    |        copy_user_generic();
  0) + 43.297 us   |      }
  0)   0.427 us    |      put_page();
  0)   0.604 us    |      touch_atime();
  0) ! 6812.634 us |    }
  0)               |    xfs_rw_iunlock() {
  0)               |      xfs_iunlock() {
  0)   0.450 us    |        up_read();
  0)   1.380 us    |      }
  0)   2.277 us    |    }
  0) ! 6822.288 us |  }
  0)               |  xfs_file_aio_read() {
  0)   0.259 us    |    generic_segment_checks();
  0)               |    xfs_rw_ilock() {
  0)               |      xfs_ilock() {
  0)               |        down_read() {
  0)   0.229 us    |          _cond_resched();
  0)   0.694 us    |        }
  0)   1.220 us    |      }
  0)   1.759 us    |    }
  0)               |    xfs_rw_iunlock() {
  0)               |      xfs_iunlock() {
  0)   0.238 us    |        up_read();
  0)   0.727 us    |      }
  0)   1.177 us    |    }
  0)               |    xfs_rw_ilock() {
  0)               |      mutex_lock() {
  0)   0.238 us    |        _cond_resched();
  0)   0.731 us    |      }
  0)               |      xfs_ilock() {
  0)               |        down_write() {
  0)   0.253 us    |          _cond_resched();
  0)   0.750 us    |        }
  0)   1.307 us    |      }
  0)   2.794 us    |    }
  0)               |    xfs_flushinval_pages() {
  0)   0.238 us    |      _spin_lock();
  0)               |      filemap_write_and_wait_range() {
  0)               |        __filemap_fdatawrite_range() {
  0)               |          do_writepages() {
  0)               |            xfs_vm_writepages() {
  0)   0.227 us    |              _spin_lock();
  0)               |              generic_writepages() {
  0)               |                write_cache_pages() {
  0)               |                  tag_pages_for_writeback() {
  0)   0.229 us    |                    _spin_lock_irq();
  0)   0.227 us    |                    _cond_resched();
  0)   1.506 us    |                  }
  0)               |                  pagevec_lookup_tag() {
  0)   0.401 us    |                    find_get_pages_tag();
  0)   1.297 us    |                  }
  0)   3.734 us    |                }
  0)   4.249 us    |              }
  0)   5.209 us    |            }
  0)   5.783 us    |          }
  0)   6.287 us    |        }
  0)               |        wait_on_page_writeback_range() {
  0)               |          pagevec_lookup_tag() {
  0)   0.232 us    |            find_get_pages_tag();
  0)   0.724 us    |          }
  0)   1.262 us    |        }
  0)   8.497 us    |      }
  0)               |      truncate_inode_pages_range() {
  0)               |        pagevec_lookup() {
  0)   0.686 us    |          }
  0)   1.204 us    |        }
  0)   0.225 us    |        _cond_resched();
  0)               |        pagevec_lookup() {
  0)   0.337 us    |          find_get_pages();
  0)   0.795 us    |        }
  0)   3.206 us    |      }
  0) + 13.048 us   |    }
  0)               |    xfs_rw_ilock_demote.clone.0() {
  0)               |      xfs_ilock_demote() {
  0)   0.258 us    |        downgrade_write();
  0)   0.807 us    |      }
  0)   0.249 us    |      mutex_unlock();
  0)   1.823 us    |    }
  0)               |    generic_file_aio_read() {
  0)   0.229 us    |      generic_segment_checks();
  0)               |      filemap_write_and_wait_range() {
  0)               |        __filemap_fdatawrite_range() {
  0)               |          do_writepages() {
  0)               |            xfs_vm_writepages() {
  0)   0.225 us    |              _spin_lock();
  0)               |              generic_writepages() {
  0)               |                write_cache_pages() {
  0)               |                  tag_pages_for_writeback() {
  0)   0.231 us    |                    _spin_lock_irq();
  0)   0.253 us    |                    _cond_resched();
  0)   1.238 us    |                  }
  0)               |                  pagevec_lookup_tag() {
  0)   0.232 us    |                    find_get_pages_tag();
  0)   0.683 us    |                  }
  0)   2.623 us    |                }
  0)   3.070 us    |              }
  0)   3.978 us    |            }
  0)   4.427 us    |          }
  0)   4.907 us    |        }
  0)               |        wait_on_page_writeback_range() {
  0)               |          pagevec_lookup_tag() {
  0)   0.232 us    |            find_get_pages_tag();
  0)   0.675 us    |          }
  0)   1.134 us    |        }
  0)   6.723 us    |      }
  0)               |      xfs_vm_direct_IO() {
  0)   0.231 us    |        xfs_find_bdev_for_inode();
  0)               |        __blockdev_direct_IO() {
  0)               |          __blockdev_direct_IO_newtrunc() {
  0)               |            kmem_cache_alloc() {
  0)   0.227 us    |              _cond_resched();
  0)               |              cache_alloc_refill() {
  0)   0.306 us    |                _spin_lock();
  0)   0.318 us    |                transfer_objects();
  0)               |                cache_grow() {
  0)   0.229 us    |                  _spin_lock();
  0)               |                  kmem_getpages() {
  0)               |                    __alloc_pages_nodemask() {
  0)   0.229 us    |                      _cond_resched();
  0)   0.274 us    |                      next_zones_zonelist();
  0)               |                      get_page_from_freelist() {
  0)   0.228 us    |                        next_zones_zonelist();
  0)               |                        zone_watermark_ok() {
  0)   0.249 us    |                          __zone_watermark_ok();
  0)   0.695 us    |                        }
  0)               |                        zone_statistics() {
  0)   0.312 us    |                          __inc_zone_state();
  0)   0.236 us    |                          __inc_zone_state();
  0)   1.273 us    |                        }
  0)   3.469 us    |                      }
  0)   5.027 us    |                    }
  0)               |                    mod_zone_page_state() {
  0)   0.226 us    |                      __mod_zone_page_state();
  0)   0.718 us    |                    }
  0)   6.804 us    |                  }
  0)   0.225 us    |                  __phys_addr();
  0)   0.229 us    |                  _spin_lock();
  0)   8.880 us    |                }
  0)   0.225 us    |                _spin_lock();
  0)   0.227 us    |                transfer_objects();
  0) + 11.602 us   |              }
  0) + 12.628 us   |            }
  0)               |            do_direct_IO() {
  0)               |              get_user_pages_fast() {
  0)               |                gup_pud_range() {
  0)               |                  gup_pte_range() {
  0)   0.236 us    |                    }
